French,English
partie,part
histoire,history
seulement,only
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
devrait,should
longtemps,long time
vont,will
pendant,while
aucune,any
place,square
parle,speak
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
terre,Earth
compte,account
donne,given
loin,far
fin,end
gros,large
aura,will have
filles,girls
